# MAG-FI RAW MAPPING DATA
# Mapper: Shanteshwar
# Building: 1
# Floor: 3
# Exported: 20260523_084454
# Total rows: 150

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779505996223,15,6.07,8.90,49.8,16.56,19.37,-4.19,"{"VIT_STUDENT": -58; "VIT_STUDENT": -58; "VIT_VIP": -63; "VIT_TPO": -62; "VIT_Staff": -61}"
1779505996488,15,6.07,8.90,50.1,16.08,19.29,-2.06,"{"VIT_STUDENT": -58; "VIT_STUDENT": -58; "VIT_VIP": -63; "VIT_TPO": -62; "VIT_Staff": -61}"
1779505997039,16,6.55,9.43,48.0,18.28,19.83,0.22,"{"VIT_STUDENT": -58; "VIT_STUDENT": -58; "VIT_VIP": -63; "VIT_TPO": -62; "VIT_Staff": -61}"
1779505997492,17,7.03,9.97,48.1,16.15,18.15,-2.02,"{"VIT_STUDENT": -58; "VIT_STUDENT": -58; "VIT_VIP": -63; "VIT_TPO": -62; "VIT_Staff": -61}"
1779505997492,17,7.03,9.97,48.1,16.15,18.15,-2.02,"{"VIT_STUDENT": -58; "VIT_STUDENT": -58; "VIT_VIP": -63; "VIT_TPO": -62; "VIT_Staff": -61}"
1779505998125,18,7.46,10.55,53.8,14.74,20.24,-2.83,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779505998495,18,7.46,10.55,53.3,14.51,19.24,-1.95,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779505998744,19,7.90,11.12,52.0,13.91,17.68,-2.30,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779505999228,20,8.33,11.70,53.6,14.62,20.05,-1.06,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779505999497,20,8.33,11.70,54.4,15.16,21.01,0.62,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779505999830,21,8.78,12.25,50.8,16.62,20.21,1.54,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506000498,21,8.78,12.25,54.5,17.00,23.34,-0.45,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506000667,22,9.22,12.82,52.4,17.90,22.63,0.33,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506001117,23,9.69,13.37,49.0,17.61,20.06,-0.93,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506001498,23,9.69,13.37,50.7,17.84,22.12,-1.23,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506001601,24,10.14,13.93,51.7,17.80,22.89,-1.52,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506002069,25,10.59,14.50,51.7,17.85,22.47,0.01,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506002505,25,10.59,14.50,53.8,15.05,21.12,-2.80,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506003154,26,10.96,15.11,58.4,14.64,23.94,-1.92,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506003506,26,10.96,15.11,56.6,15.12,22.65,-0.86,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506003622,27,11.37,15.70,55.6,15.07,21.65,-0.56,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506004224,28,11.76,16.31,57.5,14.63,22.87,-1.73,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506004508,28,11.76,16.31,55.4,15.65,22.34,-1.05,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506004676,29,12.20,16.88,52.5,16.46,20.49,0.75,"{"VIT_STUDENT": -56; "VIT_STUDENT": -56; "VIT_VIP": -57; "VIT_TPO": -58; "VIT_Staff": -58}"
1779506005244,30,12.66,17.44,50.1,16.64,20.07,-1.89,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506005510,30,12.66,17.44,50.1,18.04,21.45,-0.06,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
1779506005994,31,13.16,17.96,46.3,19.06,19.75,1.27,"{"VIT_STUDENT": -54; "VIT_Staff": -55; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_TPO": -57}"
