# MAG-FI RAW MAPPING DATA
# Mapper: Shant
# Building: 1
# Floor: 3
# Exported: 20260521_173715
# Total rows: 100

timestamp,step_count,pos_x,pos_y,heading,mag_x,mag_y,mag_z,wifi_payload
1779365199663,12,8.48,-1.62,352.9,53.14,-6.68,-26.77,"{"VIT_Staff": -62; "VIT_Staff": -62; "VIT_Staff": -62; "VIT_VIP": -59; "VIT_TPO": -61}"
1779365199948,13,9.19,-1.74,350.9,54.09,-9.07,-25.83,"{"VIT_STUDENT": -57; "VIT_STUDENT": -57; "VIT_Staff": -60; "VIT_VIP": -58; "VIT_TPO": -59}"
1779365200415,14,9.90,-1.86,350.7,55.82,-9.00,-25.26,"{"VIT_STUDENT": -57; "VIT_STUDENT": -57; "VIT_Staff": -60; "VIT_VIP": -58; "VIT_TPO": -59}"
1779365200664,14,9.90,-1.86,352.4,57.39,-7.25,-24.73,"{"VIT_STUDENT": -57; "VIT_STUDENT": -57; "VIT_Staff": -60; "VIT_VIP": -58; "VIT_TPO": -59}"
1779365200799,15,10.61,-1.94,353.4,57.93,-6.47,-23.98,"{"VIT_STUDENT": -57; "VIT_STUDENT": -57; "VIT_Staff": -60; "VIT_VIP": -58; "VIT_TPO": -59}"
1779365201667,15,10.61,-1.94,350.9,57.91,-9.32,-24.77,"{"VIT_STUDENT": -57; "VIT_STUDENT": -57; "VIT_Staff": -60; "VIT_VIP": -58; "VIT_TPO": -59}"
1779365201769,16,11.32,-2.06,350.6,57.46,-9.63,-25.09,"{"VIT_STUDENT": -57; "VIT_STUDENT": -57; "VIT_Staff": -60; "VIT_VIP": -58; "VIT_TPO": -59}"
1779365202669,16,11.32,-2.06,347.9,56.22,-12.48,-22.61,"{"VIT_VIP": -55; "VIT_TPO": -56; "VIT_STUDENT": -53; "VIT_Staff": -57; "VIT_VIP": -55}"
1779365202670,17,12.03,-2.21,347.9,56.22,-12.48,-22.61,"{"VIT_VIP": -55; "VIT_TPO": -56; "VIT_STUDENT": -53; "VIT_Staff": -57; "VIT_VIP": -55}"
1779365203309,18,12.74,-2.33,350.3,54.90,-9.06,-26.07,"{"VIT_VIP": -55; "VIT_TPO": -56; "VIT_STUDENT": -53; "VIT_Staff": -57; "VIT_VIP": -55}"
1779365203671,18,12.74,-2.33,351.0,54.64,-8.69,-26.01,"{"VIT_VIP": -55; "VIT_TPO": -56; "VIT_STUDENT": -53; "VIT_Staff": -57; "VIT_VIP": -55}"
1779365204074,19,13.44,-2.47,348.5,54.05,-11.14,-24.83,"{"VIT_VIP": -55; "VIT_TPO": -56; "VIT_STUDENT": -53; "VIT_Staff": -57; "VIT_VIP": -55}"
1779365204674,19,13.44,-2.47,347.5,55.44,-12.01,-21.74,"{"VIT_VIP": -55; "VIT_TPO": -56; "VIT_STUDENT": -53; "VIT_Staff": -57; "VIT_VIP": -55}"
1779365204758,20,14.15,-2.62,348.1,55.90,-11.41,-21.19,"{"VIT_VIP": -55; "VIT_TPO": -56; "VIT_STUDENT": -53; "VIT_Staff": -57; "VIT_VIP": -55}"
1779365205676,20,14.15,-2.62,346.2,56.72,-13.85,-21.43,"{"VIT_VIP": -55; "VIT_TPO": -56; "VIT_STUDENT": -53; "VIT_Staff": -57; "VIT_VIP": -55}"
1779365205712,21,14.85,-2.79,346.2,56.72,-13.90,-21.46,"{"VIT_VIP": -55; "VIT_TPO": -56; "VIT_STUDENT": -53; "VIT_Staff": -57; "VIT_VIP": -55}"
1779365206179,22,15.55,-2.93,349.0,58.27,-11.62,-18.04,"{"VIT_VIP": -55; "VIT_TPO": -56; "VIT_STUDENT": -53; "VIT_Staff": -57; "VIT_VIP": -55}"
1779365206681,22,15.55,-2.93,341.6,56.19,-18.76,-12.77,"{"VIT_TPO": -54; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_STUDENT": -58; "VIT_STUDENT": -58}"
1779365207473,23,16.26,-3.07,348.5,58.03,-11.98,-16.57,"{"VIT_TPO": -54; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_STUDENT": -58; "VIT_STUDENT": -58}"
1779365207682,23,16.26,-3.07,347.7,57.38,-12.75,-15.86,"{"VIT_TPO": -54; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_STUDENT": -58; "VIT_STUDENT": -58}"
1779365207833,24,16.96,-3.23,347.3,56.97,-12.94,-16.21,"{"VIT_TPO": -54; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_STUDENT": -58; "VIT_STUDENT": -58}"
1779365208217,25,17.67,-3.37,349.0,56.29,-10.44,-19.14,"{"VIT_TPO": -54; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_STUDENT": -58; "VIT_STUDENT": -58}"
1779365208684,25,17.67,-3.37,354.0,57.00,-5.97,-19.35,"{"VIT_TPO": -54; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_STUDENT": -58; "VIT_STUDENT": -58}"
1779365208717,26,18.38,-3.44,354.0,56.96,-6.00,-19.39,"{"VIT_TPO": -54; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_STUDENT": -58; "VIT_STUDENT": -58}"
1779365209195,27,19.10,-3.54,351.9,56.80,-8.28,-19.96,"{"VIT_TPO": -54; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_STUDENT": -58; "VIT_STUDENT": -58}"
1779365209687,27,19.10,-3.54,352.3,55.61,-7.17,-23.56,"{"VIT_TPO": -54; "VIT_VIP": -56; "VIT_Staff": -55; "VIT_STUDENT": -58; "VIT_STUDENT": -58}"
